ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpMax60,PrecpMax60Time,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
1,985.2,...,986.5,2008/5/1 08:29,983.6,2008/5/1 16:04,22.9,26.4,2008/5/1 14:48,20.2,2008/5/1 23:59,...,82,67,2008/5/1 14:50,1.4,1,36.9,334,2008/5/1 10:07,0.5,...,...,...,...,...,/,...,...,...,...,...,...,...
2,985.7,...,987.3,2008/5/2 09:15,984,2008/5/2 13:36,23,27.9,2008/5/2 14:59,18.8,2008/5/2 05:13,...,76,54,2008/5/2 16:25,1.4,360,55.4,28,2008/5/2 11:47,0.5,...,...,...,...,...,/,...,...,...,...,...,...,...
3,986.5,...,988.2,2008/5/3 09:56,985.3,2008/5/3 16:32,24.8,30.8,2008/5/3 11:37,19.2,2008/5/3 03:56,...,68,40,2008/5/3 11:43,1.1,195,51,353,2008/5/3 11:09,0,...,...,...,...,...,/,...,...,...,...,...,...,...
4,985,...,986.6,2008/5/4 00:04,982.7,2008/5/4 16:30,25.7,29,2008/5/4 14:56,22.1,2008/5/4 05:25,...,72,57,2008/5/4 09:19,1.9,225,36.4,277,2008/5/4 10:10,0,...,...,...,...,...,/,...,...,...,...,...,...,...
5,987,...,989.6,2008/5/5 12:24,983.4,2008/5/5 02:30,18.8,25,2008/5/6 00:00,14.3,2008/5/5 17:44,...,82,54,2008/5/5 21:59,3.5,39,12.7,33,2008/5/5 21:25,60.5,...,...,...,...,...,/,...,...,...,...,...,...,...
6,987,...,988.8,2008/5/6 21:47,985,2008/5/6 03:59,18.1,19.2,2008/5/6 13:03,17.1,2008/5/6 17:41,...,84,57,2008/5/6 00:27,1.9,53,8.8,100,2008/5/6 02:47,19.5,...,...,...,...,...,/,...,...,...,...,...,...,...
7,986.6,...,988.6,2008/5/7 10:06,984.8,2008/5/7 17:08,20.3,22.6,2008/5/7 17:18,17.4,2008/5/7 00:10,...,89,78,2008/5/7 17:15,1.3,100,9.2,224,2008/5/7 16:01,19,...,...,...,...,...,/,...,...,...,...,...,...,...
8,983.4,...,985.6,2008/5/8 08:12,980.9,2008/5/8 16:23,24.1,28.5,2008/5/8 14:49,19.1,2008/5/8 01:30,...,78,59,2008/5/8 15:22,1.1,247,12.5,196,2008/5/8 09:19,0,...,...,...,...,...,/,...,...,...,...,...,...,...
9,981.1,...,984.2,2008/5/9 23:19,978.3,2008/5/9 15:56,26.3,31.8,2008/5/9 13:41,20.9,2008/5/10 00:00,...,72,50,2008/5/9 12:14,2.5,234,45.6,252,2008/5/9 09:12,0,...,...,...,...,...,/,...,...,...,...,...,...,...
10,987,...,990,2008/5/10 21:49,983.6,2008/5/10 01:52,18.9,20.9,2008/5/11 00:00,17.4,2008/5/10 19:03,...,85,76,2008/5/10 23:37,3.2,35,10.3,38,2008/5/10 16:10,4,...,...,...,...,...,/,...,...,...,...,...,...,...
